rpa;unidade;endereco;bairro;fone;latitude;longitude
6;US 298 USF JORDAO ALTO;AV DONA CARENTINA, QD B/ LOTE II  - JORDAO;JORDAO;3355-6162;-8,134809882;-34,94101056
6;US 299 USF JORDAO BAIXO;RUA JOSE MATORANO, 100  - JORDAO;JORDAO;3355-3407;-8,130105876;-34,9393806
6;US 311 USF AGUA VIVA;RUA TANABI, S/N, LOTE 4  - IBURA;IBURA;3355-6825;-8,126579397;-34,94139057
6;US 312 USF VILA DO SESI;RUA PROFESSOR FERNANDO MOTA, 217 - IBURA DE BAIXO;IBURA;3355-6247;-8,109481096;-34,93938653
6;US 314 USF RIO DA PRATA;RUA RIO DA PRATA, 455 - IBURA;IBURA;3355-6215;-8,118824858;-34,937013
6;US 317 USF ALTO DA BELA VISTA;RUA RIO DA PRATA, 455 - IBURA;IBURA;3355-6078;-8,123613857;-34,94144326
6;US 346 USF ALTO DA JAQUEIRA;RUA VINTE E DOIS DE AGOSTO, 56 - JORDAO;JORDAO;3355-4625;-8,134429383;-34,93384201
6;US 351 USF PAZ E AMOR;RUA SENADOR POMPEU, 120 - IBURA;IBURA;3355-6650;-8,116193855;-34,93009484
6;US 373 USF CIDADE OPERARIA;RUA EMILIO MONTEIRO FONSECA, 1688 - IBURA/COHAB;COHAB;3355-3032;-8,125524619;-34,93694402
6;US 172 USF TRES CARNEIROS ALTO / JORGE LOBO;RUA IBITIARA, 154 - TRES CARNEIROS ALTO - COHAB;COHAB;3355-4713;-8,12535689;-34,95821898
6;US 228 USF UR 04/05 1 ETAPA / JOSE MANOEL DE FREITAS;RUA CAPITAO VICENTE CURADO, 33, UR 04 - COHAB;COHAB;3355-6166;-8,132004623;-34,94825996
6;US 229 USF UR 10 / ARNALDO DE FRANCA CALDAS;RUA MONTE ALEGRE, 132, UR 10 - COHAB;COHAB;3355-6909 / 3355-6910;-8,136684718;-34,95262966
6;US 230 USF LAGOA ENCANTADA;AV DR BENIGNO JORDAO DE VASCONCELOS, S/N- COHAB;COHAB;3355-6174;-8,120065506;-34,9504665
6;US 250 USF UR 12 UR 5  3 ETAPA;RUA FRANCISCO MIRANDA, 16 - COHAB;COHAB;3355-6690;-8,126240342;-34,95310379
6;US 267 USF UR 02;AV SANTA FE, 240 - UR 02 - COHAB;COHAB;3355-6239;-8,117149084;-34,95525354
6;US 270 USF JARDIM MONTE VERDE;AV CHAPADA DO ARARIPE, 116 - COHAB;COHAB;3355-6158;-8,115134984;-34,95977812
6;US 281 USF VILA DOS MILAGRES;RUA DAS FLORES, 60, VILA DOS MILAGRES  - IBURA;IBURA;3355-6251;-8,106095944;-34,95030142
6;US 282 USF VILA DAS AEROMOCAS;RUA AIQUARA, 25 -  VILA DAS AEROMOCAS - COHAB;COHAB;3355-4620;-8,136373606;-34,95709906
6;US 289 USF JOSUE DE CASTRO / 27 DE NOVEMBRO;AV CORACAO DE JESUS, S/N UR 03 - IBURA;IBURA;3355-3037;-8,110868332;-34,9526877
6;US 313 USF TRES CARNEIROS DE BAIXO / ZUMBI DO PACHECO / SEVERINO DIAS;AV CAMPO VERDE, S/N - TRES CARNEIROS BAIXO - COHAB;COHAB;3355-4712;-8,12778535;-34,95613879
6;US 315 USF UR 03;AV ENGENHO BABILONIA, 168  - IBURA;IBURA;3355-6452;-8,112562321;-34,94969858
6;US 341 USF PANTANAL / PROFESSOR FERNANDES FIGUEIRA;RUA BANDEIRANTE RAPOSO TAVARES,100 PANTANAL  - IBURA;IBURA;3355-4684;-8,106949688;-34,95801146
6;US 347 USF PARQUE DOS MILAGRES;RUA CLARA NUNES S/N - ALTO DOS MILAGRES - COHAB;COHAB;3355-6190;-8,113094126;-34,94598445
6;US 119 PROF. JOS� CARNEIRO LEÃO;RUA NOGUEIRA DE SOUZA, 334  PINA;PINA;3355-4428;-8,087387284;-34,88978337
6;US 126 VEREADOR ROMILDO GOMES;RUA JALISCO, S/N  IMBIRIBEIRA;IMBIRIBEIRA;3355-3330;-8,116677633;-34,91100333
6;US 137 DJAIR BRINDEIRO - COMAR;RUA COSMORANA, S/N - BOA VIAGEM;BOA VIAGEM;3355-0119;-8,148218836;-34,91367723
6;USF 187 ILHA DE DEUS - PINA;RUA BARREIROS, 120 - PINA;PINA;3355-2223;-8,086537851;-34,90190543
6;US 148 CS DOM MIGUEL DE LIMA VALVERDE;RUA FELICIANO JOSÉ DE CASTRO , 195 - BOA  VIAGEM;BOA VIAGEM;3355-0160;-8,133421089;-34,90465997
6;US 293 POLICLÍNICA DO PINA;AV. REP�BLICA DO LÍBANO, 355 - PINA;PINA;3355-1350;-8,08600535;-34,89049059
6;US 113 CS. ARISTARCO DOURADO DE AZEVEDO;RUA BAHIA, 29 - JORD�O BAIXO;JORDÃO;3355-4381;-8,131577726;-34,93700993
6;US 153 POL. E MATERNIDADE ARNALDO MARQUES;AV. DOIS RIOS, S/N - IBURA;IBURA;3355-1820;-8,120497443;-34,94403371
6;US 104 CS. PROF. SEBASTI�O IVO RABELO;AV. CAMPINA GRANDE, S/N UR 01;IBURA;3355-4444;-8,119632056;-34,94788159
6;USF 289 PSF JOSUE DE CASTRO - 27 DE NOVEMBRO;RUA CORA��O DE JESUS, S/N  UR 03;MUSTARDINHA;3355-6438;-8,074802;-34,919232
